(-1.2475904649332217,-2.28181579469360907E-003)
(-1.2254475801220948,-3.48333787040021881E-002)
(-1.2049213512335317,-3.98790449973570049E-002)
(-1.1326949732277736,-0.19195115257727027)
(-1.0716927925640518,-0.39799163275497629)
(-1.0425208049846615,-0.40049157299873794)
(-0.94279394008428685,-0.36446542976915625)
(-0.84993143205773114,-0.40052527372639635)
(-0.79290822539442729,-0.39370979050211286)
(-0.64791085095095069,-0.56196458778222969)
(-0.55099253326026565,-0.95038852595095191)
(-0.62303829184743309,-1.0909369214732207)
(-0.62335523607558319,-0.95160495867135664)
(-0.48620218513980373,-0.92098955750471556)
(-0.42197386223113648,-0.97299497760886433)
(-0.39563904018168461,-0.99353067645314364)
(-0.22190194634765109,-1.0625651375701894)
(9.84836488275336874E-002,-1.0266151492643723)
(0.40510364509717173,-0.82585862602620708)
(0.55873532623951139,-0.76440030594234809)
(0.67647672045102769,-0.85118651041598836)
(0.90795629559751090,-0.81533586639135136)
(1.0427399124856600,-0.70247266302793654)
(0.98292207839120693,-0.63573203805685163)
(0.98631956494137007,-0.56064571843834665)
(1.0157539982196859,-0.52083591027508958)
(0.96349224684148971,-0.49206314801893009)
(1.0836890523921372,-0.22241055704380652)
(1.1167795540276328,0.26392070044928662)
(0.44746031168212158,0.61959308459889006)
(-0.44700702445262525,0.77014750368197538)
(-0.67912386362677335,0.83961932584068866)
(-0.53358702405563063,0.69472931426892970)
(-0.66321268351409945,0.27718126351031130)
(-0.87327096910336088,-8.11947948256155350E-002)
(-0.70106660075298055,-0.26378109769346364)
(-0.24050227765285948,-0.55290167036983928)
(-2.98283272775967667E-003,-0.88678148597841844)
(-0.13241424327025486,-0.94405635404529753)
(-0.14409016347300924,-0.90255100718585579)
(6.05917948439054221E-002,-1.0234080492255910)
(-8.24275439072308380E-003,-1.0420851099406172)
